[11:07:08.708] INFO (17898): Wallet sync [176]: shielded=false, unshielded=true, dust=false
[11:07:08.774] INFO (17898): Wallet sync [177]: shielded=false, unshielded=true, dust=false
[11:07:08.817] INFO (17898): Wallet sync [178]: shielded=false, unshielded=true, dust=false
[11:07:08.887] INFO (17898): Wallet sync [179]: shielded=false, unshielded=true, dust=false
[11:07:08.930] INFO (17898): Wallet sync [180]: shielded=false, unshielded=true, dust=false
[11:07:09.005] INFO (17898): Wallet sync [181]: shielded=false, unshielded=true, dust=false
[11:07:09.060] INFO (17898): Wallet sync [182]: shielded=false, unshielded=true, dust=false
[11:07:09.146] INFO (17898): Wallet sync [183]: shielded=false, unshielded=true, dust=false
[11:07:09.234] INFO (17898): Wallet sync [184]: shielded=false, unshielded=true, dust=false
[11:07:09.313] INFO (17898): Wallet sync [185]: shielded=false, unshielded=true, dust=false
[11:07:09.374] INFO (17898): Wallet sync [186]: shielded=false, unshielded=true, dust=false
[11:07:09.447] INFO (17898): Wallet sync [187]: shielded=false, unshielded=true, dust=false
[11:07:09.526] INFO (17898): Wallet sync [188]: shielded=false, unshielded=true, dust=false
[11:07:09.619] INFO (17898): Wallet sync [189]: shielded=false, unshielded=true, dust=false
[11:07:09.693] INFO (17898): Wallet sync [190]: shielded=false, unshielded=true, dust=false
[11:07:09.781] INFO (17898): Wallet sync [191]: shielded=false, unshielded=true, dust=false
[11:07:09.849] INFO (17898): Wallet sync [192]: shielded=false, unshielded=true, dust=false
[11:07:09.939] INFO (17898): Wallet sync [193]: shielded=false, unshielded=true, dust=false
[11:07:10.009] INFO (17898): Wallet sync [194]: shielded=false, unshielded=true, dust=false
[11:07:10.083] INFO (17898): Wallet sync [195]: shielded=false, unshielded=true, dust=false
[11:07:10.148] INFO (17898): Wallet sync [196]: shielded=false, unshielded=true, dust=false
[11:07:10.251] INFO (17898): Wallet sync [197]: shielded=false, unshielded=true, dust=false
[11:07:10.363] INFO (17898): Wallet sync [198]: shielded=false, unshielded=true, dust=false
[11:07:10.572] INFO (17898): Wallet sync [199]: shielded=false, unshielded=true, dust=false
[11:07:10.700] INFO (17898): Wallet sync [200]: shielded=false, unshielded=true, dust=false
[11:07:10.807] INFO (17898): Wallet sync [201]: shielded=false, unshielded=true, dust=false
[11:07:10.857] INFO (17898): Wallet sync [202]: shielded=false, unshielded=true, dust=false
[11:07:10.961] INFO (17898): Wallet sync [203]: shielded=false, unshielded=true, dust=false
[11:07:11.045] INFO (17898): Wallet sync [204]: shielded=false, unshielded=true, dust=false
[11:07:11.157] INFO (17898): Wallet sync [205]: shielded=false, unshielded=true, dust=false
[11:07:11.347] INFO (17898): Wallet sync [206]: shielded=false, unshielded=true, dust=false
[11:07:11.484] INFO (17898): Wallet sync [207]: shielded=false, unshielded=true, dust=false
[11:07:11.570] INFO (17898): Wallet sync [208]: shielded=false, unshielded=true, dust=false
[11:07:11.643] INFO (17898): Wallet sync [209]: shielded=false, unshielded=true, dust=false
[11:07:11.714] INFO (17898): Wallet sync [210]: shielded=false, unshielded=true, dust=false
[11:07:11.794] INFO (17898): Wallet sync [211]: shielded=false, unshielded=true, dust=false
[11:07:11.859] INFO (17898): Wallet sync [212]: shielded=false, unshielded=true, dust=false
[11:07:11.944] INFO (17898): Wallet sync [213]: shielded=false, unshielded=true, dust=false
[11:07:12.015] INFO (17898): Wallet sync [214]: shielded=false, unshielded=true, dust=false
[11:07:12.142] INFO (17898): Wallet sync [215]: shielded=false, unshielded=true, dust=false
[11:07:12.245] INFO (17898): Wallet sync [216]: shielded=false, unshielded=true, dust=false
[11:07:12.359] INFO (17898): Wallet sync [217]: shielded=false, unshielded=true, dust=false
[11:07:12.449] INFO (17898): Wallet sync [218]: shielded=false, unshielded=true, dust=false
[11:07:12.557] INFO (17898): Wallet sync [219]: shielded=false, unshielded=true, dust=false
[11:07:12.642] INFO (17898): Wallet sync [220]: shielded=false, unshielded=true, dust=false
[11:07:12.745] INFO (17898): Wallet sync [221]: shielded=false, unshielded=true, dust=false
[11:07:12.821] INFO (17898): Wallet sync [222]: shielded=false, unshielded=true, dust=false
[11:07:12.909] INFO (17898): Wallet sync [223]: shielded=false, unshielded=true, dust=false
[11:07:13.034] INFO (17898): Wallet sync [224]: shielded=false, unshielded=true, dust=false
[11:07:13.143] INFO (17898): Wallet sync [225]: shielded=false, unshielded=true, dust=false
[11:07:13.219] INFO (17898): Wallet sync [226]: shielded=false, unshielded=true, dust=false
[11:07:13.297] INFO (17898): Wallet sync [227]: shielded=false, unshielded=true, dust=false
[11:07:13.363] INFO (17898): Wallet sync [228]: shielded=false, unshielded=true, dust=false
[11:07:13.447] INFO (17898): Wallet sync [229]: shielded=false, unshielded=true, dust=false
[11:07:13.526] INFO (17898): Wallet sync [230]: shielded=false, unshielded=true, dust=false
[11:07:13.624] INFO (17898): Wallet sync [231]: shielded=false, unshielded=true, dust=false
[11:07:13.701] INFO (17898): Wallet sync [232]: shielded=false, unshielded=true, dust=false
[11:07:13.807] INFO (17898): Wallet sync [233]: shielded=false, unshielded=true, dust=false
[11:07:13.872] INFO (17898): Wallet sync [234]: shielded=false, unshielded=true, dust=false
[11:07:13.975] INFO (17898): Wallet sync [235]: shielded=false, unshielded=true, dust=false
[11:07:14.040] INFO (17898): Wallet sync [236]: shielded=false, unshielded=true, dust=false
[11:07:14.112] INFO (17898): Wallet sync [237]: shielded=false, unshielded=true, dust=false
[11:07:14.193] INFO (17898): Wallet sync [238]: shielded=false, unshielded=true, dust=false
[11:07:14.278] INFO (17898): Wallet sync [239]: shielded=false, unshielded=true, dust=false
[11:07:14.335] INFO (17898): Wallet sync [240]: shielded=false, unshielded=true, dust=false
[11:07:14.404] INFO (17898): Wallet sync [241]: shielded=false, unshielded=true, dust=false
[11:07:14.469] INFO (17898): Wallet sync [242]: shielded=false, unshielded=true, dust=false
[11:07:14.543] INFO (17898): Wallet sync [243]: shielded=false, unshielded=true, dust=false
[11:07:14.605] INFO (17898): Wallet sync [244]: shielded=false, unshielded=true, dust=false
[11:07:14.675] INFO (17898): Wallet sync [245]: shielded=false, unshielded=true, dust=false
[11:07:14.725] INFO (17898): Wallet sync [246]: shielded=false, unshielded=true, dust=false
[11:07:14.790] INFO (17898): Wallet sync [247]: shielded=false, unshielded=true, dust=false
[11:07:14.857] INFO (17898): Wallet sync [248]: shielded=false, unshielded=true, dust=false
[11:07:14.923] INFO (17898): Wallet sync [249]: shielded=false, unshielded=true, dust=false
[11:07:14.990] INFO (17898): Wallet sync [250]: shielded=false, unshielded=true, dust=false
[11:07:15.046] INFO (17898): Wallet sync [251]: shielded=false, unshielded=true, dust=false
[11:07:15.108] INFO (17898): Wallet sync [252]: shielded=false, unshielded=true, dust=false
[11:07:15.153] INFO (17898): Wallet sync [253]: shielded=false, unshielded=true, dust=false
[11:07:15.223] INFO (17898): Wallet sync [254]: shielded=false, unshielded=true, dust=false
[11:07:15.299] INFO (17898): Wallet sync [255]: shielded=false, unshielded=true, dust=false
[11:07:15.367] INFO (17898): Wallet sync [256]: shielded=false, unshielded=true, dust=false
[11:07:15.408] INFO (17898): Wallet sync [257]: shielded=false, unshielded=true, dust=false
[11:07:15.461] INFO (17898): Wallet sync [258]: shielded=false, unshielded=true, dust=false
[11:07:15.535] INFO (17898): Wallet sync [259]: shielded=false, unshielded=true, dust=false
[11:07:15.595] INFO (17898): Wallet sync [260]: shielded=false, unshielded=true, dust=false
[11:07:15.634] INFO (17898): Wallet sync [261]: shielded=false, unshielded=true, dust=false
[11:07:15.696] INFO (17898): Wallet sync [262]: shielded=false, unshielded=true, dust=false
[11:07:15.763] INFO (17898): Wallet sync [263]: shielded=false, unshielded=true, dust=false
[11:07:15.817] INFO (17898): Wallet sync [264]: shielded=false, unshielded=true, dust=false
[11:07:15.886] INFO (17898): Wallet sync [265]: shielded=false, unshielded=true, dust=false
[11:07:15.952] INFO (17898): Wallet sync [266]: shielded=false, unshielded=true, dust=false
[11:07:16.009] INFO (17898): Wallet sync [267]: shielded=false, unshielded=true, dust=false
[11:07:16.068] INFO (17898): Wallet sync [268]: shielded=false, unshielded=true, dust=false
[11:07:16.141] INFO (17898): Wallet sync [269]: shielded=false, unshielded=true, dust=false
[11:07:16.193] INFO (17898): Wallet sync [270]: shielded=false, unshielded=true, dust=false
[11:07:16.265] INFO (17898): Wallet sync [271]: shielded=false, unshielded=true, dust=false
[11:07:16.327] INFO (17898): Wallet sync [272]: shielded=false, unshielded=true, dust=false
[11:07:16.401] INFO (17898): Wallet sync [273]: shielded=false, unshielded=true, dust=false
[11:07:16.459] INFO (17898): Wallet sync [274]: shielded=false, unshielded=true, dust=false
[11:07:16.529] INFO (17898): Wallet sync [275]: shielded=false, unshielded=true, dust=false
[11:07:16.593] INFO (17898): Wallet sync [276]: shielded=false, unshielded=true, dust=false
[11:07:16.654] INFO (17898): Wallet sync [277]: shielded=false, unshielded=true, dust=false
[11:07:16.715] INFO (17898): Wallet sync [278]: shielded=false, unshielded=true, dust=false
[11:07:16.788] INFO (17898): Wallet sync [279]: shielded=false, unshielded=true, dust=false
